"Not Visible","Not Visible"
"RUT code validation","RUT code validation"
"Please use the value in the RUT format","Please use the value in the RUT format"
"Royalty Card Number","Royalty Card Number"
"Sorry, that is not a valid card number","Sorry, that is not a valid card number"
"- Magento Default (E-mail) -","- Magento Default (E-mail) -"
"Please specify different value for ""%s"" attribute. Customer with such value already exists.","Please specify different value for ""%s"" attribute. Customer with such value already exists."
"Default option value is not defined.","Default option value is not defined."
"Customer website ID must be specified when using the website scope.","Customer website ID must be specified when using the website scope."
"Customers","Customers"
"Manage Customer Attributes","Manage Customer Attributes"
"View Attributes Relations","View Attributes Relations"
"Manage Attributes Relation","Manage Attributes Relation"
"This attribute no longer exists","This attribute no longer exists"
"There are no attributes to create relations. Please create at least one attribute of the following type: Multiple Select; Multiple Checkbox Select with Images; Dropdown; Single Radio Select with Images; Customer Group Selector. Which will be used as a parent attribute.","There are no attributes to create relations. Please create at least one attribute of the following type: Multiple Select; Multiple Checkbox Select with Images; Dropdown; Single Radio Select with Images; Customer Group Selector. Which will be used as a parent attribute."
"Edit Relation","Edit Relation"
"New Relation","New Relation"
"Please select item(s)","Please select item(s)"
"You cannot delete this attribute","You cannot delete this attribute"
"Customer attribute was successfully deleted","Customer attribute was successfully deleted"
"Unable to find an attribute to delete","Unable to find an attribute to delete"
"View Customer Attributes","View Customer Attributes"
"You cannot edit this attribute","You cannot edit this attribute"
"Manage Customer Attribute","Manage Customer Attribute"
"Edit Customer Attribute","Edit Customer Attribute"
"New Customer Attribute","New Customer Attribute"
"Edit Product Attribute","Edit Product Attribute"
"New Product Attribute","New Product Attribute"
"Attribute with the same code already exists","Attribute with the same code already exists"
"You cannot update this attribute","You cannot update this attribute"
"Customer attribute was successfully saved","Customer attribute was successfully saved"
"Email Address","Email Address"
"Add New Relation","Add New Relation"
"Add New Attribute","Add New Attribute"
"Relation Name","Relation Name"
"Parent Attribute","Parent Attribute"
"Dependent Attributes","Dependent Attributes"
"Attribute Codes","Attribute Codes"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Are you sure?","Are you sure?"
"New Attribute","New Attribute"
"Save Relation","Save Relation"
"Edit Relation ""%s""","Edit Relation ""%s"""
"Relation Information","Relation Information"
"General","General"
"Relation Properties","Relation Properties"
"Relation name","Relation name"
"For internal use","For internal use"
"Attribute Options","Attribute Options"
"Code","Code"
"Label","Label"
"Visible","Visible"
"Yes","Yes"
"No","No"
"Show on Registration","Show on Registration"
"Required","Required"
"Sorting Order","Sorting Order"
"Show on Manage Customers Grid","Show on Manage Customers Grid"
"Show on Orders Grid","Show on Orders Grid"
"Show on Order View","Show on Order View"
"Show on Billing During Checkout","Show on Billing During Checkout"
"Close Window","Close Window"
"Save Attribute","Save Attribute"
"Save And Continue Edit","Save And Continue Edit"
"Delete Attribute","Delete Attribute"
"Edit Customer Attribute ""%s""","Edit Customer Attribute ""%s"""
"Attribute Information","Attribute Information"
"Manage Label / Options","Manage Label / Options"
"Properties","Properties"
"Manage Option Images","Manage Option Images"
"Add Option","Add Option"
"Attribute Properties","Attribute Properties"
"Attribute Code","Attribute Code"
"For internal use. Must be unique with no spaces","For internal use. Must be unique with no spaces"
"Store View","Store View"
"Website","Website"
"Global","Global"
"Text Field","Text Field"
"Text Area","Text Area"
"Date","Date"
"Multiple Select","Multiple Select"
"Multiple Checkbox Select with Images","Multiple Checkbox Select with Images"
"Dropdown","Dropdown"
"Single Radio Select with Images","Single Radio Select with Images"
"Customer Group Selector","Customer Group Selector"
"Static Text","Static Text"
"None","None"
"Decimal Number","Decimal Number"
"Integer Number","Integer Number"
"10 Digits Integer Number","10 Digits Integer Number"
"AAA-0000","AAA-0000"
"Email","Email"
"Letters","Letters"
"Letters(a-zA-Z) or Numbers(0-9)","Letters(a-zA-Z) or Numbers(0-9)"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Default value","Default value"
"Visible on Front-end","Visible on Front-end"
"Unique Value","Unique Value"
"Unique Value (not shared with other customers)","Unique Value (not shared with other customers)"
"Not shared with other customers","Not shared with other customers"
"Values Required","Values Required"
"Input Validation","Input Validation"
"Attribute Configuration","Attribute Configuration"
"Is Read Only","Is Read Only"
"Show on the Order View Page","Show on the Order View Page"
"In the Account Information block at the backend","In the Account Information block at the backend"
"Show on Registration","Show on Registration"
"Sorting Order","Sorting Order"
"The order to display field on frontend","The order to display field on frontend"
"Customer Attributes","Customer Attributes"
"Manage Attributes","Manage Attributes"
"Manage Relations","Manage Relations"
"General Settings","General Settings"
"Display customer attributes on the select customer grid","Display customer attributes on the select customer grid"
"This applies to the customers grid which is used to select a customer during order creation at the backend","This applies to the customers grid which is used to select a customer during order creation at the backend"
"Allow customer to change his group","Allow customer to change his group"
"Login Settings","Login Settings"
"Use For Customer Login","Use For Customer Login"
"The attribute chosen here will be used for customer login together with or instead of email.","The attribute chosen here will be used for customer login together with or instead of email."
"Disable Email Login","Disable Email Login"
"If set to `Yes`, customers will be able to login only by the custom attribute chosen above. If set to `No`, customers will be able to login using either the custom attribute or email.","If set to `Yes`, customers will be able to login only by the custom attribute chosen above. If set to `No`, customers will be able to login using either the custom attribute or email."
"Modify Field Title On The Login Page","Modify Field Title On The Login Page"
"No Default Value","No Default Value"