Customer Survey,问卷调查
Customer Surveys,问卷调查
Survey,问卷
Create Survey,新建问卷
View Surveys,查看问卷及结果
Add Survey,新建问卷
General,常规
Title,问卷标题
Coupon Code upon Completion,答题后显示优惠码
Coupon Code Title,优惠卷标题
Status,是否启用此问卷
Questions,问卷中的问题
Questions:,问题列表
Survey Questions,问题管理
Add Question,新建问题
Delete Question,删除问题
Demove,删除
Question,问题
Answer Type,答案类型
Sort Order,排序
Satisfaction Bubbles,满意度
Excellent-Poor Bubbles,品质
Text Field,文本类型
Text Area,备注类型
5 Star Rating,5星级评分
Yes/No,是与否
Custom Radio,单选
Check Boxes,复选框
Add Possible Answer,增加可选答案
Excellent,优秀
Good,良好
Fair,一般般
Poor,差
Very satisfied,十分满意
Satisfied,挺好的
Neutral,正常
Dissatisfied,有点失望
Very dissatisfied,很差
Yes,是 
No,否
Thank you for completing the survey.,感谢您完成这个调查。
Completing this survey granted you the following offer:,您可以得到我们提供的优惠
Use promo code:,使用此优惠码
List of Surveys,问卷列表
Survey Name,调查内容
Number of Questions,问题数量
Promotional,优惠
Submit,提交